country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Afghanistan,13.7121023720065,18.3800424016375,-6.24017199240269,357.261152798144,,,,56.0,23.0881691,,14.1,65.617,40578842.0
Albania,6.72520271530048,37.1970818190154,4.82669611912765,6846.42669381643,98.5,96.3712310791016,2.74432992935181,86.0,6.19368076,,10.137,78.769,2777689.0
Algeria,9.26551551551553,30.8089785470304,3.60000000094915,4961.55257664733,,108.343933105469,4.74924659729004,79.0,3.6230433,,12.346,76.129,45477389.0
American Samoa,,46.9575200918485,1.73501577287065,18017.4589383973,,,,,,,,72.752,48342.0
Andorra,,,9.56461225648184,42414.0590092117,,90.147346496582,2.64728999137878,98.0,7.53678846,,,84.016,79705.0
Angola,21.3552901320822,44.391642097512,3.04472652391918,2929.69445467272,72.4000015258789,86.7067961582083,2.3321259021759,37.0,2.92737579,,14.602,64.246,35635029.0
Antigua and Barbuda,7.53107834634288,54.7237649635992,9.10780623385958,20105.1989085164,,,3.6477484703064,99.0,5.7299943,,,77.483,92840.0
Argentina,,16.248014443903,5.26987967384072,13935.6811110049,,108.722412109375,4.80521011352539,85.0,9.86305332,40.7,6.805,75.806,45407904.0
Armenia,8.64091108973855,50.2249804603907,12.5999999997766,6571.97445545099,,92.9023818969727,2.4918999671936,95.0,9.96212864,27.9,13.379,74.7658536585366,2969200.0
Aruba,,87.5702803628607,8.51791810517545,30559.5335346581,,104.667572021484,,,,,,76.226,107310.0
Australia,6.59409671341846,25.5315880289865,4.24238555336139,64997.0136536475,,99.1329879760742,5.20677661895752,96.0,9.92687893,,3.728,83.2,26014399.0
Austria,8.5468699318845,61.9626734104832,5.27789448538658,52176.6649141178,,100.77562713623,4.77447128295898,95.0,11.15729332,30.9,4.992,81.2951219512195,9041851.0
Azerbaijan,13.8522590144267,59.9868480668076,4.71468037857544,7770.594223351,,99.8082962036133,3.04690003395081,93.0,3.97840643,,5.65,74.125,10141756.0
"Bahamas, The",5.60540633583044,37.1589142824247,10.8774550145968,34957.1613279737,,,2.83657622337341,80.0,7.21692038,,9.272,74.491,397538.0
Bahrain,3.62574104304482,95.9613654006004,6.18016125475185,30470.5219276023,98.0,92.3441925048828,1.98779726028442,99.0,3.83745313,,1.326,80.992,1524693.0
Bangladesh,7.69695437176898,12.8822264348985,7.09982877575158,2716.48592780431,,117.659457498739,1.71183669567108,97.0,2.39038587,33.4,4.593,74.265,169384897.0
Barbados,,,17.8328630251327,22164.0260273876,,95.5793075561523,4.41624021530151,85.0,6.29389191,,8.365,75.676,282318.0
Belarus,15.209675274081,63.0511868938428,-4.65839591573585,7994.64806074889,,94.7119674682617,4.62823009490967,98.0,6.65919876,,3.574,74.1033658536585,9228071.0
Belgium,9.597511728725,95.2395955015917,4.2593607365269,50822.2518538518,,102.176986694336,,96.0,10.76192474,26.4,5.57,81.7487804878049,11680210.0
Belize,6.27689319447544,53.2722099272842,9.65297772389758,7068.45478269722,,99.9364624023438,4.59650993347168,81.0,4.23173904,,8.763,72.19,402733.0
Benin,1.35077863583527,20.8153300474458,6.25294705373625,1266.42710981159,47.0999984741211,113.04891204834,3.37785911560059,52.0,2.67981386,,1.685,60.475,13759501.0
Bermuda,,50.2988488872967,6.47622571186707,121613.939983629,,85.4245880861851,1.92221343517303,,,,,82.062,64749.0
Bhutan,5.6391667139637,25.4988399587876,5.21386783786224,3711.32767981591,72.0999984741211,106.082127409623,7.46982002258301,97.0,4.38545895,28.5,5.947,72.754,780914.0
Bolivia,1.74632872945969,32.6115548527874,3.60568042633635,3643.92826984604,,99.5986480712891,7.57550001144409,69.0,8.43142891,41.2,3.552,67.434,12077154.0
Bosnia and Herzegovina,14.0208440826771,48.307102350834,4.22681101095546,7655.59421024383,98.3000030517578,87.8222198486328,,58.0,8.71644783,,12.657,76.777,3204802.0
Botswana,11.665567478802,43.5436117786863,5.48601706446772,8328.70905682185,,96.9256945502565,,90.0,5.72838593,,23.615,68.749,2439892.0
Brazil,9.28010608956873,19.6307650034371,3.01669435393015,9281.33334441234,94.6900024414062,103.970321655273,,81.0,9.14277458,52.0,9.231,74.872,210306415.0
British Virgin Islands,,,,,,101.18147277832,2.48401999473572,,,,,77.177,38319.0
Brunei Darussalam,3.68225030604216,86.3893570088471,-1.62833154022366,36632.9280421411,,94.5624818507405,,97.0,1.81768215,,5.191,72.917,455370.0
Bulgaria,15.3252589264366,69.9770907029936,4.03877758301681,13999.6719197289,,95.8885192871094,,91.0,7.66357517,38.2,4.268,74.1609756097561,6465097.0
Burkina Faso,14.2902354303358,31.744842886064,1.4972397409897,836.118304593682,34.4900016784668,82.3567962646484,5.27651214599609,91.0,6.77182007,,5.389,60.7,22509038.0
Burundi,18.8008786664945,4.9710985076333,1.84899943948213,250.634225368744,75.5400009155273,,4.82104730606079,89.0,8.39522648,,0.915,62.882,13321097.0
Cabo Verde,7.93092925430087,38.6842542170134,15.843675684642,4323.31362032709,91.0,,4.67288541793823,95.0,6.67440224,,12.246,75.907,519741.0
Cambodia,5.34370264895437,72.2070606780988,5.12990110767267,2325.03050040841,83.7799987792969,109.959079096814,2.88349270820618,83.0,4.71089554,,0.231,70.528,17201724.0
Cameroon,6.24767713343861,19.321813317909,3.7367840056412,1604.87726954895,,110.715507507324,2.61768436431885,68.0,4.47835922,,3.653,62.443,27632771.0
Canada,6.80280115341613,33.9431906669379,4.18903628100851,56256.8007264015,,96.0115737915039,4.13957166671753,92.0,11.23432541,,5.279,81.2453658536585,38935934.0
Cayman Islands,,,5.15632954248333,92202.1478031576,,87.6824264526367,1.48894000053406,,,,,79.984,71591.0
Central African Republic,5.58316735183247,12.3004999986493,0.453901881507008,467.359825026238,,,2.11509132385254,41.0,9.95509052,,5.956,18.818,5098039.0
Chad,5.78802687843616,31.7353441144244,12.8966164300082,966.036468278568,27.2800006866455,90.3641204833984,2.53867292404175,54.0,4.52549791,37.4,1.096,54.528,18455316.0
Channel Islands,,,5.34196140375869,67627.3084478235,,,,,,,6.147,81.0,167215.0
Chile,11.643866711056,35.6066282723137,2.15399356192458,15405.6165774073,97.1600036621094,100.192268371582,,94.0,10.06172848,43.0,8.249,79.176,19553036.0
